id,label,t1,t2,article_number
H21-1-1,Y,"
Article 5
(1) A minor must obtain the consent of the minor's legal representative to perform a juridical act;provided, however, that this does not apply to a juridical act for merely acquiring a right or being released from an obligation.
(2) A juridical act in contravention of the provisions of the preceding paragraph is voidable.
(3) Notwithstanding the provisions of paragraph (1), a minor may freely dispose of property that the legal representative has permitted the minor to dispose of for a specified purpose, to an extent that falls within the scope of that purpose. The same applies if the minor disposes of property that the legal representative has permitted the minor to dispose of without specifying a purpose..
","
Acceptance made by a minor that received an offer of gifts without burden without getting consent from his/her statutory agent may not be rescinded.
",5
H21-1-2,N,"
Article 6
(1) A minor who is permitted to conduct one or multiple types of business has the same capacity to act as an adult as far as that business is concerned.
(2) In a case as referred to in the preceding paragraph, if there are grounds that make the minor unable to sustain that business, the legal representative may revoke or limit the permission therefor in accordance with the provisions of Part IV (Relatives)..
","
If a minor, after getting permission for carrying a business from his/her statutory agent, performs an act unrelated to the business without getting consent of the statutory agent, that act may not be rescinded.
",6
H21-1-3,Y,"
Article 9
A juridical act performed by an adult ward is voidable;provided, however, that this does not apply to the purchase of daily necessities or to any other act involved in day-to-day life..
","
The purchase of daily household items may not be rescinded, even if an adult ward performed the act.
",9
H21-1-4,N,"
Article 13
(1) A person under curatorship must obtain the consent of the curator in order to perform any of the following acts;provided, however, that this does not apply to an act provided for in the proviso of Article 9:
(i) receiving or using any property producing civil fruit;
(ii) borrowing money or guaranteeing an obligation;
(iii) performing an act with the purpose of acquiring or losing any right regarding immovables or other significant property;
(iv) suing any procedural act;
(v) giving a gift, reaching a settlement, or entering into an arbitration agreement (meaning an arbitration agreement as provided in Article 2, paragraph (1) of the Arbitration Act (Act No. 138 of 2003));
(vi) accepting or renouncing a succession or dividing an estate;
(vii) refusing an offer of a gift, renouncing a legacy, accepting an offer of gift with burden, or accepting a legacy with burden;
(viii) constructing a new building, renovating, expanding, or undertaking major repairs;
(ix) granting a lease for a term that exceeds the period set forth in Article 602; or
(x) performing any of the acts set forth in the preceding items as a legal representative of a person with qualified legal capacity (meaning a minor, adult ward, or person under curatorship or a person under assistance who is subject to a decision as referred to in Article 17, paragraph (1); the same applies hereinafter).
(2) At the request of a person as referred to in the main clause of Article 11
or the curator or curator's supervisor, the family court may decide that the person under curatorship must also obtain the consent of the curator before performing an act other than those set forth in each of the items of the preceding paragraph;provided, however, that this does not apply to an act provided for in the proviso to Article 9.
(3) If the curator does not consent to an act for which the person under curatorship must obtain the curator's consent even though it is unlikely to prejudice the interests of the person under curatorship, the family court may grant permission that operates in lieu of the curator's consent at the request of the person under curatorship.
(4) An act for which the person under curatorship must obtain the curator's consent is voidable if the person performs it without obtaining the curator's consent or a permission that operates in lieu of it.
Article 120
(1) An act that is voidable on the grounds of the qualified legal capacity to act of the person who did the act may be rescinded only by the person with qualified legal capacity (in the case of an act performed by the person as a legal representative of another person with limited capacity, including that other person with limited capacity), or an agent or successor thereof, or a person who has the authority to give consent thereto.
(2) An act that is voidable on the grounds of a mistake, fraud or duress may be rescinded only by the person who made the defective manifestation of intention, or an agent or successor thereof.
Article 122
A voidable act may not be rescinded after the person prescribed in Article 120
ratifies it..
","
If a person under curatorship performs, without getting the consent, an act that requires  getting consent from his/her curator, the curator may ratify that act, but may not rescind that act.
",13|120|122
H21-1-5,N,"
Article 7
The family court may decide to commence a guardianship in respect of a person who constantly lacks the capacity to appreciate the person's own situation due to a mental disorder, at the request of the person in question, that person's spouse, that person's relative within the fourth degree of kinship, the person's guardian of a minor, the person's supervisor of a minor's guardian, the person's curator, the person's curator's supervisor, the person's assistant, the person's assistant's supervisor, or a public prosecutor.
Article 11
The family court may decide to commence a curatorship in respect of a person whose capacity to appreciate their own situation is extremely inadequate due to a mental disorder, at the request of the person in question, the person's spouse, the person's relative within the fourth degree of kinship, the guardian, the guardian's supervisor, the assistant, the assistant's supervisor, or a public prosecutor;provided, however, that this does not apply to a person in respect of whom a cause set forth in Article 7
exists..
","
The person in question may not request a  commencement of guardianship, but he/she may request a  commencement of curatorship.
",7|11
H21-3-1,Y,"
Article 189
(1) A possessor in good faith acquires fruits derived from the thing under possession.
(2) If a possessor in good faith is defeated in an action on the title that legally supports the possession, that possessor is deemed to be a possessor in bad faith as from the time when the action is filed.
Article 190
(1) A possessor in bad faith has the obligation to return fruits, and reimburse the price of fruits that the possessor has already consumed, damaged due to negligence, or failed to collect.
(2) The provisions of the preceding paragraph apply mutatis mutandis to a person who takes possession of a thing through assault or duress or through concealment..
","
A possessor in good faith shall acquire fruits derived from  Thing in his/her possession , but a person in possession Thing through duress shall be obliged to return fruits, and if the fruits have already been consumed, he/she shall be obliged  to reimburse the cost of the fruits.
",189|190
H21-3-2,Y,"
Article 575
(1) If the subject matter of a sale which has not yet been delivered bears fruits, the fruits vest in the seller.
(2) The buyer bears the obligation to pay interest on the price beginning from the day of delivery;provided, however, that if a due date is provided for the payment of the price, it is not necessary to pay the interest until that due date arrives..
","
A seller may collect fruits until a delivery, even if the delivery of the subject matter is delayed.
",575
H21-3-4,N,"
Article 356
The pledgee of immovables may use and profit from the immovables that are the subject matter of a pledge in line with the way the relevant immovables are used..
","
A  pledgee of immovable peroperty may use and receive the profits from the immovable property that is the subject matter of a pledge, in accordance with the method of its use, but may not collect fruits derived by the real property.
",356
H21-3-5,Y,"
Article 89
(1) The ownership of natural fruits is acquired by the person entitled to obtain them when they are separated from the original thing.
(2) A person acquires civil fruits in proportion to the duration of the right to obtain them, as calculated on a prorated, daily basis..
","
If person A donates a house that he/she is renting to person C with a provision for the payment of rent at the end of every month to person B midway through the month, if there is a special agreement between person A and person B, the rent for the month will be distributed between person A and person B in proportion to the number of the days.
",89
H21-5-3,Y,"
Article 707
(1) If a person that is not an obligor has performed an obligation by mistake and the obligee, acting in good faith, has allowed the instrument to be lost, has damaged the instrument, has waived the security, or has lost the claim by prescription, the person performing the obligation may not demand the return of subject matter of the performance.
(2) The provisions of the preceding paragraph do not preclude the person performing an obligation from exercising the right to reimbursement against the obligor..
","
In a cases where a person who is not an obligor has performed an obligation by mistake, if the obligee  waived the security in good faith, the person that performed the obligation may not  demand return of the performance even without having been grossly negligent.
",707
H21-5-4,N,"
Article 119
A void act does not become effective by ratification;provided, however, that if a party ratifies an act knowing that the act is void, it is deemed that the party did a new act..
","
Assuming a contract is void due to a mistake, after the person making the manifestation ratifies it  knowing that such act is void, the contract shall become effective retroactively to the time of the act.
",119
H21-7-5,N,"
Article 206
An owner has the rights to freely use, profit from and dispose of the thing owned, within the limits of laws and regulations..
","
If person B hinders the exercise of ownership for a thing owned by person A using methods other than possession of the thing, person A's ability to demand the removal or discontinuance of the disturbance from B based on ownership is limited to when person A incurs serious and considerable irreparable damage due to person B's disturbance.
",206
H21-8-A,N,"
Article 181
Possessory rights may be acquired through an agent.
","
An agent may even acquire a possessory right, but since the effect of possession by the agent belongs to the principle, the agent him/herself may not acquire an individual possessory right for the thing possessed.
",181
H21-8-O,Y,"
Article 201
(1) An action for maintenance of possession must be filed during the obstruction or within one year after the obstruction stops;provided, however, that if the possessed thing has been damaged due to construction work and either one year has passed from the time when the construction was started or the construction has been completed, the action may not be filed.
(2) An action for preservation of possession may be filed so long as the danger of obstruction exists.In this case, the provisions of the proviso to the preceding paragraph apply mutatis mutandis if the possessed thing is likely to be damaged by the construction work.
(3) An action for recovery of possession must be filed within one year from the time when a possessor was forcibly dispossessed..
","
An action for recovery of possession mustl be brought within one year from the time when possession was unlawfully usurped.
",201
H21-9-1,Y,"
Article 184
If a thing is possessed through an agent, the principal orders that agent to thenceforward possess that thing on behalf of a third party, and that third party consents thereto, the third party acquires the possessory rights..
","
After person A, who is the owner and depositor of a moveable, orders person B, who is the depositary, to thenceforward possess the moveable on behalf of third party person C, and person C consented thereto, person C shall acquire the possessory right for the moveable.
",184
H21-9-2,Y,"
Article 182
(1) The transfer of possessory rights is effected by the delivery of the thing possessed.
(2) If a transferee or the agent of a transferee is actually holding the thing under possession, the transfer of possessory rights may be effected by the parties' manifestations of intention alone..
","
If person A, who is the owner and lessor of a moveable, enters into a sales contract with person B, who received the transfer as a lessee, then person A loses the possessory right for the moveable due to the manifestation of intention of person A and person B to the effect that the possessory right is transferred.
",182
H21-9-3,N,"
Article 181
Possessory rights may be acquired through an agent.
Article 658
(1) A bailee may not use the bailed thing without obtaining the consent of the bailor.
(2) The bailee may not have a third party keep the bailed thing in custody unless the bailee obtains the consent of the bailor or there is a compelling reason to do so.
(3) A sub-bailee has the same rights and obligations as those of the bailee in relation to the bailor within the scope of authority thereof..
","
If person B, who is the depositary and gets approval from person A, who is the owner and depositor of a moveable, entered into a deposit contract with third party, person C for the moveable and transferred it, then person B loses the possessory right for the moveable.
",181|658
H21-9-4,Y,"
Article 183
If an agent manifests the intention to thenceforward possess a thing under the agent's own possession on behalf of the principal, the principal thereby acquires the possessory rights..
","
If person A, who is the owner of a moveable and possesses it him/herself, enters into a sale contract with person B, and simultaneously enters into a loan  contract for use with person B as the use lender and person A as the lease borrower, then person B acquires the possessory right for the moveable due to the manifestation of intention of person A to the effect that he/she will thenceforward possess the thing on behalf of person B.
",183
H21-10-1,Y,"
Article 223
A landowner may install boundary markers, sharing the expenses with the owner of the neighboring land.
Article 224
The expenses of installation and preservation of boundary markers are borne equally by neighbors;provided, however, that measuring expenses are borne in proportion to the area of each land.
Article 229
Boundary markers, fences, walls, channels and moats installed on boundary lines are presumed to be co-owned by the neighbors..
","
An owner of one part of neighboring land may demand the cooperation of another owner of the land in installing boundary markers at shared cost, and the boundary markers installed as a result of that cooperation shall be presumed to be co-owned by the neighbors.
",223|224|229
H21-10-2,Y,"
Article 234
(1) In order to construct a building, the building must be distanced 50 centimeters or more away from the boundary line.
(2) If a person attempts to construct a building in violation of the provisions of the preceding paragraph, the owner of the neighboring land may have the construction suspended or changed;provided, however, that if one year passes from the time when that construction started or if that building is completed, the owner may only claim compensation for loss or damage..
","
Assuming there is a need to maintain a distance of 50 centimeters or more from the boundary line when building a building, after a year lapses from the time when such construction started, or if that building has been completed, the owner of the adjacent land may not demand changes to the building and may only claim damages.
",234
H21-10-3,Y,"
Article 209
(1) An owner of land may request the use of the neighboring land to the extent necessary for constructing or repairing walls or buildings on or in the vicinity of the boundary;provided, however, that the owner may not enter the dwelling house of the neighbor without the approval of the same.
(2) In the case referred to in the preceding paragraph, if the neighbor sustained damage, the neighbor may claim compensation..
","
If an owner of one part of neighboring land repairs a building on the owned land, then he/she may request the use of the neighboring land to the extent necessary for repairing the building from his/her neighbor, however he/she may not enter the dwelling house of the neighbor without the approval the same.
",209
H21-10-5,Y,"
Article 213
(1) If the partition of land creates a parcel of land that has no access to public roads, the owner of that parcel of land may pass to the public roads only through the lands owned by another person that participated in the partition.In this case, it is necessary to pay compensation.
(2) The provisions of the preceding paragraph apply mutatis mutandis if the owner of land transfers part of the land to another person..
","
In cases where person A, who owns land L, subdivides the land into land M, which is surrounded by other  land and has no access to public roads, and land N, which is not so, then sells land M to person B, person B has the right-of-way to reach public roads only regarding land N.
",213
H21-12-1,Y,"
Article 295
(1) If a possessor of a thing belonging to another person has a claim that has arisen in relation to that thing, that possessor may retain that thing until that claim is satisfied;provided, however, that this does not apply if the relevant claim has not yet fallen due.
(2) The provisions of the preceding paragraph do not apply if possession commenced by means of a tortious act..
","
A right of retention is not established if the obligee with a secured claim does not possess the subject matter, and even if he/she temporarily has possession, the right shall not be established in cases where the possession commenced by means of a tortious act.
",295
H21-12-2,Y,"
Article 295
(1) If a possessor of a thing belonging to another person has a claim that has arisen in relation to that thing, that possessor may retain that thing until that claim is satisfied;provided, however, that this does not apply if the relevant claim has not yet fallen due.
(2) The provisions of the preceding paragraph do not apply if possession commenced by means of a tortious act..
","
A right of retention is not established when a secured claim has not yet fallen due.
",295
H21-12-3,Y,"
Article 297
(1) A holder of a right of retention may collect fruits derived from the thing retained, and appropriate the same to the satisfaction of that holder's own claim before other obligees.
(2) The fruits referred to in the preceding paragraph must be appropriated first to the payment of interest on the claim, and any remainder must be appropriated to the satisfaction of the principal..
","
A holder of a right of retention may not accept priority performance from the subject matter, but may accept priority performance from fruits that derived from the subject matter.
",297
H21-13-A,Y,"
Article 313
(1) The statutory lien of a lessor of land exists against movables furnished to that land or buildings for the use of that land, movables provided for the use of that land, and fruits of that land in the possession of the lessee.
(2) The statutory lien of a lessor of a building exists against movables furnished to that building by the lessee..
","
The statutory lien of a lessor of a building shall  exist with movables furnished to that building by the lessee.
",313
H21-13-I,Y,"
Article 304
(1) A statutory lien may also be exercised against things including monies that the obligor is to receive as a result of the sale, lease or loss of, or damage to, the subject matter of the statutory lien;provided, however, that the holder of the statutory lien must attach the same before the payment or delivery of the monies or other thing.
(2) The provisions of the preceding paragraph also apply to the consideration for real rights created by the obligor on the subject matter of the statutory lien..
","
An obligee that has a general statutory lien may exercise the statutory lien concerning money that the obligor has received in payment as compensation for that Thing owned.
",304
H21-13-U,N,"
Article 343
A thing that cannot be transferred to another person may not be made the subject of a pledge..
","
Pledges cannot be created over a Thing that cannot be assigned to others.
",343
H21-13-E,Y,"
Article 344
The creation of a pledge becomes effective through delivery of the subject matter of the pledge to the obligee.
Article 345
A pledgee may not allow a pledgor to possess the thing pledged on behalf of the pledgee..
","
A pledge creation contract that has immovable properties or movables as its objective shall take effect by delivering the subject matter, but this transfer may be either a summary transfer or a transfer of possession by instruction.
",344|345
H21-13-O,N,"
Article 349
The pledgor may not, either by the acts establishing pledges or by contracts made prior to the due dates for the obligations, allow the pledgee to acquire ownership of the thing pledged as satisfaction of the obligations, nor promise to allow the pledgee to dispose of it in any manner other than is prescribed by law..
","
A pledgee and a pledgor may not agree to the pledgee's acquisition of the Thing pledged as performance for obligations, even after the due dates for performance of his/her obligations secured by the pledge.
",349
H21-15-3,Y,"
Article 388
If the land and a building on that land belong to the same owner, a mortgage is created with respect to that land or building, and the enforcement of that mortgage causes them to belong to different owners, it is deemed that a superficies has been created with respect to that building.In this case, the rent is fixed by the court at the request of the parties..
","
In cases where a building owned by person A is built on land owned by person A, and then after a mortgage is created as a joint mortgage for person B with respect to  the building and the land, the result of the execution of the mortgage with respect to the land only is that person C became the land owner, then statutory superficies with respect to the building on the land will be established.
",388
H21-19-A,Y,"
Article 447
(1) The guarantee obligation includes interest, penalty and compensation for loss or damage in connection with the principal obligation, and all other charges secondary to that obligation.
(2) A guarantor may stipulate the amount of penalty or compensation for loss or damage with regard to the guarantor's own guarantee obligation only..
","
Assuming that a recovery obligation due to cancellation is understood as a different l obligation that is not identical to the original obligation, whenever it is considered whether or not the recovery obligation due to contract cancellation being included in the scope of the guarantee obligation is a problem in the interpretation of intention of the party in the guarantee contract, the guarantor for the seller in a sales contract for specified Thing may be understood to bear responsibility for the guarantee even for the recovery obligation in cases where the contract is cancelled due to default by the seller.
",447
H21-19-I,Y,"
Article 453
Even after the obligee has made a demand to the principal obligor in accordance with the provisions of the preceding Article, the obligee must first execute on the property of the principal obligor if the guarantor proves that the principal obligor has the financial resources to pay the obligation and that the execution can be easily performed..
","
In order for a guarantor to exercise the right of defense of obligor's solvency, he/she must prove that the principal obligor has the financial resources to pay his/her obligation and that the execution would be easily performed.
",453
H21-19-U,N,"
Article 457
(1) The postponement of expiry of prescription period and the renewal of prescription period due to grounds such as a request for performance in relation to the principal obligor are also effective in relation to the guarantor.
(2) A guarantor may assert against the obligee a defense that can be raised by the principal obligor.
(3) If the principal obligor has a right to set-off, right to rescind or right to cancel against the obligee, the guarantor may refuse to perform the obligation to the obligee to the extent that the principal obligor should have been released from the obligation by exercising these rights..
","
Regarding the provision in the Civil Code that states, ""a guarantor may raise a defense vis-a-vis the obligee by setting off any claim which the principal obligor may have vis-a-vis the obligee"", when considering that the guarantor is given the authority to set off any claim that the principal obligor has, the guarantor will be understood to have the right of affirmative defense that refuses the performance of the guarantee obligation for the corresponding amount.
",457
H21-19-E,N,"
Article 459
(1) If a guarantor gives guarantee as requested by the principal obligor, and performs the obligation on behalf of the principal obligor or performs any other act that causes the obligation to be extinguished in exchange for the guarantor's own property (hereinafter referred to as an ""act for extinguishment of obligation""), the guarantor has a right to reimbursement from the principal obligor for the amount of property expended for that act (if the amount of property exceeds the amount of the principal obligation extinguished by the act for extinguishment of obligation, the amount thus extinguished).
(2) The provisions of Article 442, paragraph (2) apply mutatis mutandis to the cases set forth in the preceding paragraph..
","
In cases where a guarantor has given a guarantee as entrusted by the principal obligor, if he/she had a judgment ordering him/her to perform the obligation to the obligee, or has performed the obligation on behalf of  the principal obligor, or has otherwise in exchange for his/her own property performed any other act intended to cause the obligation to be extinguished, as long as the guarantor has not been negligent at any time whatsoever, that guarantor has a right to indemnification against the principal debtor.
",459
